model_name,battery_kWh,motor_power_kW,range_km,energy_per_km,efficiency_km_per_kWh,power_ratio,driving_style,style_multiplier,initial_soc,trip_distance_km,energy_consumed_kWh,final_soc
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,City,1,93.40829418,21.66538057,3.153621626,89.58850054
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,Highway,1.1,34.96968926,18.55457041,2.362271696,31.97947193
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,Aggressive,1.25,45.63848906,12.94493225,1.494105754,40.65813655
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Highway,1.1,25.65767886,2.546938605,0.21080756,24.43913805
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Aggressive,1.25,54.13614625,36.97959175,3.478140684,34.03128681
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,Eco,0.85,97.91437754,34.5432471,3.371040188,89.04321915
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,Aggressive,1.25,67.26979774,23.36484518,2.384167875,57.33576493
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,Eco,0.85,92.66664219,6.833126744,0.803341318,90.62770484
Harrier EV – Medium Range (538 km),65,160,538,0.121,8.28,2.46,Highway,1.1,45.32316991,4.583209676,0.608880512,44.38643066
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Aggressive,1.25,85.46587835,8.618965848,1.180033659,83.3203626
XUV400 – Standard Range (375 km),34.5,110,375,0.092,10.87,3.19,City,1,77.15730409,19.02522864,1.750251025,72.08411272
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,City,1,80.33182043,3.933492306,0.471076923,79.73552052
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,City,1,61.2094907,7.132917073,0.592927438,59.51541231
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,Aggressive,1.25,59.99620335,28.24951385,2.802531135,48.78607881
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,Aggressive,1.25,38.50964927,24.39632838,4.438924378,33.13304513
Citroen eC3 – Standard Range (320 km),29.2,57,320,0.091,10.96,1.95,Aggressive,1.25,56.80199718,35.63392198,4.064087817,42.88388822
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,Aggressive,1.25,18.1589152,16.7064704,2.170799168,12.99034575
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,Highway,1.1,41.3491674,29.95877453,2.61544857,30.88737312
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,Eco,0.85,66.5212998,28.26146118,2.829474912,61.17257596
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,Highway,1.1,74.70387913,3.156683787,0.37825187,74.06277427
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,Eco,0.85,15.67874803,12.41455825,1.117836283,13.78411026
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,Eco,0.85,88.39163081,34.3440413,2.383055927,78.46223111
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,City,1,68.6130275,30.23078969,3.142493731,61.13089957
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,City,1,27.23659008,5.252438574,0.575294477,26.19060012
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,Aggressive,1.25,24.58931764,9.286385645,1.229659116,22.50514964
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,City,1,68.55125503,21.25067949,1.962204939,62.0105719
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Aggressive,1.25,90.90809808,27.12005033,3.70088023,83.55048331
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,Aggressive,1.25,16.2558489,38.97030387,5.306413926,7.261926996
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,Highway,1.1,63.59456717,26.87796845,3.073364376,56.27703294
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,City,1,57.46493935,25.23325394,2.748720473,52.80609109
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,Eco,0.85,70.58400042,12.46654414,1.269049404,68.97760877
Nexon EV – High Range (489 km),45,106,489,0.092,10.87,2.36,Aggressive,1.25,41.22782822,25.837556,2.971200092,34.62516135
Harrier EV – High Range (622 km),75,250,622,0.121,8.29,3.33,Aggressive,1.25,37.66552199,10.6976443,1.613034423,35.51480943
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,Highway,1.1,82.1523866,8.36667596,0.974930461,80.49996209
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,Highway,1.1,36.23313719,38.28885671,3.888988216,23.26984313
Citroen eC3 – Standard Range (320 km),29.2,57,320,0.091,10.96,1.95,Eco,0.85,52.43102765,26.39456997,2.047024131,45.42067104
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,City,1,29.20617723,5.787743734,0.435496143,26.68885849
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,City,1,81.42717181,23.84491416,2.611710204,76.6786078
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,Highway,1.1,15.30393306,20.71978539,2.482762955,11.09586025
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,Eco,0.85,27.21263779,39.91707379,4.063414697,22.06907488
XUV400 – Standard Range (375 km),34.5,110,375,0.092,10.87,3.19,City,1,57.09409519,28.21437155,2.595618358,49.57056371
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,Aggressive,1.25,80.54739124,31.01535502,3.222709375,71.33965017
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,City,1,78.26817819,5.523483551,0.45914244,76.95634265
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,City,1,37.09857398,17.00010401,1.413142478,33.06102404
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,Aggressive,1.25,42.2792632,6.359312754,0.826314027,40.31184885
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,Highway,1.1,34.26272021,20.1238213,2.60732667,29.33393633
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Eco,0.85,14.05349889,39.68359504,3.682429671,6.732565148
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,City,1,38.62346462,26.82391532,2.788348786,31.98453894
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,City,1,21.03122614,4.510398637,0.494019566,20.13300874
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Highway,1.1,61.49026934,25.62092076,3.076748127,55.37347386
XUV400 – Standard Range (375 km),34.5,110,375,0.092,10.87,3.19,Eco,0.85,42.01451208,32.85399222,2.569079428,34.56790504
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,Eco,0.85,70.71111039,3.562678436,0.251727072,69.99189019
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,Aggressive,1.25,50.71171705,29.84103168,4.317278889,45.24680707
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Eco,0.85,86.87747343,27.07234221,2.520426164,82.2948804
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,City,1,77.48445475,36.47208016,2.894609537,65.9060166
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,City,1,92.07108941,36.55008717,4.230334163,86.71623604
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,Eco,0.85,41.54649246,24.01410082,2.971176957,37.94768316
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,City,1,59.0757173,12.59968459,1.047355327,56.0832735
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,City,1,33.84414438,3.612552278,0.298311501,32.69679245
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,Aggressive,1.25,15.42274952,39.24993286,5.197289838,6.613783689
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,City,1,93.51393741,24.77225152,2.917815256,87.99821859
Nexon EV – High Range (489 km),45,106,489,0.092,10.87,2.36,Highway,1.1,80.02091165,29.64606439,3.000061713,73.35410784
XUV400 – Standard Range (375 km),34.5,110,375,0.092,10.87,3.19,City,1,58.73115289,39.33191006,3.61839099,48.24306307
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,Highway,1.1,98.82767345,26.70241051,3.111509699,93.5539282
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,Eco,0.85,46.9231427,26.925431,2.379066149,41.25869949
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,Eco,0.85,10.55499636,28.16605421,1.990120206,4.86893863
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,Eco,0.85,24.75286611,22.24123297,2.751826495,21.41974293
XUV400 – Standard Range (375 km),34.5,110,375,0.092,10.87,3.19,Aggressive,1.25,80.5833921,23.1439672,2.66144977,72.86904494
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,Highway,1.1,85.17871913,14.93037228,1.516473638,80.123807
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,Eco,0.85,25.40060355,31.14679503,2.647477578,19.09708551
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,Eco,0.85,17.3346899,16.30244096,1.590938555,13.14800949
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,Eco,0.85,58.62249265,38.85308204,3.95510416,53.61603168
Harrier EV – Medium Range (538 km),65,160,538,0.121,8.28,2.46,Aggressive,1.25,67.28090879,16.59215854,2.504854852,63.42728594
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,Highway,1.1,35.05119794,6.068845348,0.971721963,33.87420913
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Aggressive,1.25,70.10051412,30.98063272,4.227706431,61.69553115
Nexon EV – High Range (489 km),45,106,489,0.092,10.87,2.36,Eco,0.85,12.35419523,23.13298268,1.808926888,8.334357697
Tiago EV – Medium Range (223 km),19.2,45,223,0.086,11.61,2.34,City,1,25.70797315,35.62996487,3.06890309,9.724102894
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,Highway,1.1,35.21505633,19.36328595,2.256315101,31.39079345
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,Highway,1.1,75.15063154,26.64314334,4.266005485,69.98347373
Curvv EV – Medium Range (430 km),45,110,430,0.105,9.55,2.44,Aggressive,1.25,66.1817059,29.8624939,3.90870339,57.49569836
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,Eco,0.85,28.18836488,36.8715267,3.319999756,22.56124665
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Eco,0.85,12.61003718,36.9327538,3.427166019,5.796585853
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,Eco,0.85,89.95516899,21.45347475,1.986432847,86.58833366
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,Highway,1.1,42.6227289,38.06697858,3.480771109,32.67766859
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,Aggressive,1.25,75.09332972,34.59012927,4.323766159,64.79864839
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,Aggressive,1.25,95.43970533,16.79519096,1.745136217,90.45360185
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Highway,1.1,54.97353282,30.59070937,3.673556802,47.67023898
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Highway,1.1,45.83044277,29.40541213,3.542820738,39.38895052
Harrier EV – Medium Range (538 km),65,160,538,0.121,8.28,2.46,Aggressive,1.25,49.13638582,8.636721745,1.30385292,47.13045825
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,Highway,1.1,32.63402853,7.727350857,0.674609995,29.93558855
Citroen eC3 – Standard Range (320 km),29.2,57,320,0.091,10.96,1.95,City,1,67.73233766,12.93149257,1.179880709,63.69165031
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Aggressive,1.25,19.42703391,13.16029189,1.237800215,12.27211938
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,City,1,66.78836311,38.88155981,4.579689024,58.13110598
Nexon EV – High Range (489 km),45,106,489,0.092,10.87,2.36,Eco,0.85,37.76982127,7.390489503,0.577913163,36.48556979
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,Eco,0.85,39.93460526,39.18910748,3.628621063,33.78440007
Harrier EV – High Range (622 km),75,250,622,0.121,8.29,3.33,Highway,1.1,90.344522,8.383804874,1.112446968,88.86125938
Citroen eC3 – Standard Range (320 km),29.2,57,320,0.091,10.96,1.95,Eco,0.85,97.37148912,38.90565344,3.017318013,87.03820825
Citroen eC3 – Standard Range (320 km),29.2,57,320,0.091,10.96,1.95,Highway,1.1,33.86234408,17.26182628,1.732482565,27.92918461
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,Aggressive,1.25,37.51169671,9.311844599,1.23303027,35.4218149
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,Highway,1.1,66.88519716,20.63460976,2.359466813,61.26741903
XEV 9e – Medium Range (542 km),59,170,542,0.109,9.18,2.88,Eco,0.85,21.89922891,21.10812659,1.954456166,18.58659134
Nexon EV – High Range (489 km),45,106,489,0.092,10.87,2.36,Highway,1.1,75.66346791,2.134107093,0.215962999,75.18355013
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,Aggressive,1.25,96.84234217,25.07829093,3.62822496,92.24965235
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,Highway,1.1,79.88283086,13.58748158,1.220100387,74.79907925
Citroen eC3 – Standard Range (320 km),29.2,57,320,0.091,10.96,1.95,Eco,0.85,79.19567934,39.06100903,3.029366577,68.82113627
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,Aggressive,1.25,92.09459681,27.11378505,2.798697879,81.3303742
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,Highway,1.1,47.73983007,8.785959504,1.336729662,44.3471152
Nexon EV – High Range (489 km),45,106,489,0.092,10.87,2.36,Highway,1.1,14.54835916,26.53184896,2.684915718,8.581879782
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Highway,1.1,61.30866634,22.37364742,1.851844406,50.60436342
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,Highway,1.1,45.73138852,11.47223866,1.261946252,42.72675459
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,Aggressive,1.25,81.14291852,7.493530046,0.743405759,78.16929548
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,City,1,17.27638104,8.214184725,0.61807259,13.70370711
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Eco,0.85,44.1589985,6.430346903,0.598663184,43.07051999
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,Aggressive,1.25,32.57250428,38.46044222,3.996305301,21.15448913
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,Eco,0.85,77.81253374,25.68285762,1.802677867,70.87915733
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,City,1,58.14769474,8.283206105,0.764838976,55.59823149
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Aggressive,1.25,45.4274146,33.7500785,4.620766498,37.02602097
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,City,1,43.93683411,15.20958791,1.660435362,40.63576977
Nexon EV – High Range (489 km),45,106,489,0.092,10.87,2.36,City,1,93.90637594,3.254182065,0.299372775,93.2411031
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,Highway,1.1,16.94560175,15.65922276,1.590502773,11.64392584
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,Highway,1.1,57.87716433,5.96087272,0.954433769,56.72111567
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,Aggressive,1.25,58.62204317,37.05939435,4.907229125,50.30470567
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Highway,1.1,55.12694294,25.08879245,3.012846255,49.13718895
Tigor EV – Standard Range (315 km),26,55,315,0.083,12.11,2.12,City,1,79.60448038,27.07802624,2.23600547,71.00445934
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,City,1,74.93346995,18.61821421,2.154885904,72.20576628
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,Highway,1.1,14.75746905,27.35450941,3.4826343,10.3490712
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,Eco,0.85,77.81559747,29.08425655,2.838302878,70.34637937
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,City,1,42.05725592,38.64700664,3.154857685,28.91201557
Curvv EV – Medium Range (430 km),45,110,430,0.105,9.55,2.44,Highway,1.1,56.0056515,11.86559863,1.366718167,52.96850002
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,Highway,1.1,12.35367507,5.196634136,0.466636535,10.40935617
Curvv EV – Medium Range (430 km),45,110,430,0.105,9.55,2.44,Highway,1.1,20.44758921,12.53054257,1.443308568,17.24023683
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Eco,0.85,42.63968973,14.72631129,1.371014742,40.14693566
Citroen eC3 – Standard Range (320 km),29.2,57,320,0.091,10.96,1.95,Eco,0.85,12.75697693,20.29864823,1.574256478,7.365687628
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,Eco,0.85,49.74089442,30.42016163,2.687852119,43.34124652
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,Aggressive,1.25,50.02381159,31.53126717,4.175220759,42.94716624
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,Aggressive,1.25,63.06513396,24.89022055,3.664637891,56.13765212
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Eco,0.85,79.24573325,7.787466979,0.498069747,76.36671738
BYD Sealion 7 – High Range (567 km),82.56,230,567,0.146,6.87,2.79,Highway,1.1,36.65279071,7.581341206,1.213897427,35.18246921
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,Aggressive,1.25,81.52127234,11.43299976,1.31959831,77.12261131
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,City,1,90.41129188,27.14085523,2.821294722,83.69392349
Citroen eC3 – Standard Range (320 km),29.2,57,320,0.091,10.96,1.95,Eco,0.85,64.78872057,21.86596931,1.695809664,58.98115323
ZS EV – High Range (461 km),50.3,130,461,0.109,9.16,2.58,Eco,0.85,33.70320456,22.17566008,2.057785051,29.6121806
Citroen eC3 – Standard Range (320 km),29.2,57,320,0.091,10.96,1.95,Highway,1.1,92.68315866,2.621458068,0.263102543,91.78212256
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,Highway,1.1,76.63932366,37.14002672,4.690474098,64.29597077
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,Eco,0.85,12.19789423,16.76351529,1.130872063,7.674405976
Curvv EV – High Range (502 km),55,123,502,0.11,9.13,2.24,Aggressive,1.25,93.24890025,24.29328404,3.326024649,87.20158271
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,Aggressive,1.25,69.90092861,11.63034242,1.712359014,66.66395505
Punch EV – High Range (421 km),35,90,421,0.083,12.03,2.57,Eco,0.85,87.47745728,34.3887954,2.429798511,80.53517582
Windsor EV – High Range (449 km),52.9,130,449,0.118,8.49,2.46,Eco,0.85,95.94858223,4.037366243,0.404212168,95.18447606
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,Eco,0.85,78.99688424,30.98753761,2.432078206,70.88995689
Harrier EV – High Range (622 km),75,250,622,0.121,8.29,3.33,Highway,1.1,75.61971618,9.907104997,1.314573643,73.86695133
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,City,1,78.18703624,11.50148132,1.218377259,76.12199004
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,Eco,0.85,95.41324873,12.13344267,0.841912349,91.90528061
XUV 3XO EV – Standard Range (285 km),39.4,150,285,0.138,7.23,3.81,City,1,18.19162896,4.443776342,0.6146302,16.63165384
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,Aggressive,1.25,65.04328239,30.36638508,4.357977193,53.57492135
Tiago EV – Medium Range (223 km),19.2,45,223,0.086,11.61,2.34,Eco,0.85,97.53166117,34.53367597,2.528305304,84.36340438
Comet EV – Standard Range (230 km),17.3,42,230,0.075,13.29,2.43,Highway,1.1,34.83578093,16.26102388,1.345908673,27.05596201
BE6 – Medium Range (557 km),59,170,557,0.106,9.44,2.88,City,1,50.65239252,18.35561104,1.944450322,47.35671401
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,Highway,1.1,29.34237169,14.21991848,1.564191033,25.61810733
